Configurable ANSI disabled.
> 
                            Areas of 3 Kingdoms
                             (651 areas listed)
 No.:   Creator(s):          Area Name:                          Realm:
 193.   Joker                Smileyland                          Chaos       
 194.   Jr                   The Magic Fungus                    Chaos       
 195.   Jux                  Doom                                Science
                                                                 (CLOSED)    
 196.   Jux                  Karak's Hut                         Fantasy     
 197.   Karde                Rich Mansion                        Fantasy     
 198.   Keeble               Dragon Knight                       Fantasy     
 199.   Kelson               A hidden crevice                    Fantasy     
 200.   Kendric              3Kraft                              Chaos       
 201.   Kendric              Dead or Alive 3                     Chaos       
 202.   Kendric              Diablo II                           Chaos       
 203.   Kendric              Gamer's House                       Chaos       
 204.   Kino                 Witch Coven                         Fantasy     
 205.   Kino and Tensor      Alchemy Shop                        Pinnacle    
 206.   Kinslayer            3-Kingdoms Explorer's Inn           Pinnacle    
 207.   Kinslayer            Burdog Gorge                        Chaos       
 208.   Kinslayer            Forest of Unicorns                  Fantasy     
 209.   Kintax               Chaos Mall                          Chaos       
 210.   Kintax               Hermit's Hut                        Fantasy     
 211.   Kintax               Mutation Experimentation Lab        Science
                                                                 (DEFUNCT)   
 212.   Kintax               Otyugh Cave                         Chaos       
 213.   Kintax               R'lyeh                              Chaos       
 214.   Kohl                 Alchemy School                      Fantasy     
 215.   Kohl                 Azral's Tower                       Fantasy     
 216.   Kohl                 Crystal Caves                       Fantasy     
 217.   Kohl                 Geloe's Cottage                     Fantasy     
 218.   Kohl                 Inyxx Pyramid                       Fantasy     
 219.   Kohl and Kintax      Elven Woods                         Fantasy     
 220.   Kohl and Sioux       Game Show                           Chaos       
 221.   Kohl and Timescape   Dragon Isle                         Fantasy     
 222.   Koronin              Billy Bob's Big Top Circus          Chaos       
 223.   Koronin              Jag's Bar                           Chaos       
 224.   Koronin              Seinfeld Studio Set                 Chaos       
 225.   Koronin and          Great Well of Crenda                Fantasy
        Tuesdai           
 226.   Kwuteg               Valley of the Tribes                Science     
 227.   Lagman and Raymond   Jerusalem                           Fantasy
                                                                 (CLOSED)    
 228.   Lauranna             Twelve Dancing Princesses           Chaos       
 229.   Leto                 Dune                                Science     
 230.   Lipscom              Gamal Islands                       Fantasy     
 231.   Lipscom              Oasis in the Badlands               Science     
 232.   Lipscom              Xanth Swamp                         Chaos       
 233.   Lockheed             Cavern in the Dunes                 Fantasy     
 234.   Loomer               Ganeshan's Pit                      Fantasy     
 235.   Lorderon             Redneck Trailer                     Science     
 236.   Lorderon             Ruined Mage School                  Fantasy     
 237.   Lostar               Ancient Pirate Ship                 Fantasy     
 238.   Lostar               Askar's Manor                       Fantasy     
 239.   Lostar               Azziruth's Lair                     Fantasy     
 240.   Lostar               Isle of Vilanthia                   Fantasy     
 241.   Lostar               Lair of the Ogre                    Fantasy     
 242.   Lostar               Lostar's Bedroom                    Chaos       
 243.   Lostar               Necromancer's Lair                  Fantasy     
 244.   Lostar               Tower Of The Moon                   Fantasy     
 245.   Machina              Bukken Tunnels                      Fantasy     
 246.   Machina              Evil Squirrel Tree                  Chaos       
 247.   Malaclypse           Subway Sandwich Shop                Science     
 248.   Manson               Cloud City                          Chaos       
 249.   Manson               Harpy Forest                        Fantasy     
 250.   Mischief             Camazots                            Science     
 251.   Mischief             Dead-End Alley                      Science     
 252.   Mischief             Fort of Torrin Forest               Fantasy     
 253.   Mischief             Larissa's Funhouse                  Chaos       
 254.   Mischief             Mouse Trails Cottage                Chaos       
 255.   Mischief             Murdock Chicken Plant               Science     
 256.   Mischief             Snowbeast Lair                      Fantasy     
 257.   Mischief and         Mega-Tokyo                          Science
        Aristocles        
 258.   Mischief and         Angelo                              Fantasy
        Keeble            
 259.   Mischief and         Mount Perplexus                     Fantasy
        Keeble            
 260.   Mischief and         Tomb of Rutha-Al                    Fantasy
        Kintax            
 261.   Mischief and         Body Mansion                        Chaos
        Simetra           
 262.   Mischief and Zix     Djinni Isle                         Fantasy     
 263.   Mithrandir           Crashed Satellite                   Science     
 264.   Mithrandir           Mercenary Tent                      Science     
 265.   Mithrandir           Sandman's Oasis                     Science     
 266.   Mithrandir           Swamp Lake                          Science     
 267.   Mithrandir           Swede Research Center               Science     
 268.   Mithrandir           Toxic Waste Dump                    Science     
 269.   Mithrandir           Toy Factory                         Chaos       
 270.   Miyuki               Linux Fair                          Chaos       
 271.   Miyurachi            Garou Cave                          Fantasy     
 272.   Miyurachi            Summerset Warrens                   Chaos       
 273.   Miyurachi and        Spaceport                           Chaos
        Lagman            
 274.   Monte                Angelo Well                         Fantasy     
 275.   Monte                Pinnacle Candy Store                Pinnacle    
 276.   Morin                Drug Lab                            Science     
 277.   Morin                Naiad Lair                          Fantasy     
 278.   Morkin               Troll Caves                         Fantasy     
 279.   Mors                 Bowling City                        Chaos       
 280.   Mors                 Community of Demon Summoners        Fantasy     
 281.   Mors                 Funkytown                           Chaos       
 283.   Mos                  Balooga                             Fantasy     
 284.   Mos                  Trivia Room                         Pinnacle    
 285.   Mos and Darklord     Chaos Cinemaplex                    Chaos       
 286.   Mosiah               Dryad Tree                          Fantasy     
 287.   Mosiah               Zith-el                             Fantasy     
 288.   Nanook               Air Force Base                      Science     
 289.   Nanook               Environmentalist Camp               Science     
 290.   Nanook               Magic The Gathering                 Chaos       
 291.   Nanook               Mars                                Science     
 292.   Nanook               Midways Space Station               Science     
 293.   Nanook               Mortal Kombat                       Chaos       
 294.   Nanook               Oil Field                           Newbieland  
 295.   Nanook               Red Barchetta                       Chaos       
 296.   Nanook               The Book Nook                       Chaos       
 297.   Nanook               The Phantom of the Opera            Chaos       
 298.   Nanook               Tower of Fire                       Fantasy     
 299.   Nanook               Tower of Frost                      Fantasy     
 300.   Nanook and Beast     Catacombs                           Fantasy     
 301.   Necrite              Enchanted Jungle                    Chaos       
 302.   Nermal               European Robotics - Survey,         Science
                             Design and Development Office    
 303.   Nermal               Silicon Wraiths HQ                  Science     
 304.   Olethros             Kelon                               Fantasy     
 305.   Olfin                Drexler Nanolabs                    Science     
 306.   Olfin                Grindur                             Fantasy     
 307.   Olfin                The Para-elemental Plane of Soy     Chaos       
 308.   Olower               Cave Hideout                        Fantasy     
 309.   Olower               Club Chaos                          Chaos       
 310.   Olower               Hockey Hall of Fame                 Chaos       
 311.   Olower               Sphinx                              Fantasy     
 312.   Oneiros              BBN Planet                          Chaos       
 313.   Orthas               Durhal's Ant Caves                  Fantasy     
 314.   Orthas               Radioactive Sewer                   Chaos       
 315.   Orthas               Struggling Realities                Chaos       
 316.   Paradigm             Sweetboots House                    Chaos       
 317.   Peeron               Abandoned Drow Temple               Fantasy     
 318.   Peeron               Amethyst Tower                      Fantasy     
 319.   Peeron               Catapult Crevice                    Fantasy     
 320.   Peeron               Goblin Caves                        Fantasy
                                                                 (CLOSED)    
 321.   Peeron               Marble Castle                       Fantasy     
 322.   Peeron               Momentory Keep                      Fantasy     
 324.   Peeron               Silversmith                         Fantasy     
 325.   Peeron               Troll Den                           Fantasy     
 326.   Pfunk                Carnegie Hall                       Science     
 327.   Pfunk                Forest of Types                     Fantasy     
 328.   Pfunk                Innerspace                          Chaos       
 329.   Pfunk                NYPD                                Science     
 330.   Pfunk                Newbie Hell                         Newbieland  
 331.   Pfunk                Norgrith Manor                      Fantasy     
 332.   Pfunk                Spire                               Fantasy     
 333.   Pfunk                Wax Museum                          Science     
 334.   Pfunk                Zelligar's Castle                   Fantasy     
 335.   Pistil               Barracks                            Newbieland  
 336.   Pistil               Detroit                             Science     
 337.   Pistil               Fallout Shelter                     Science     
 338.   Pistil               GenCorps                            Science     
 339.   Pistil               HTC Northern Expansion Terminal     Science     
 340.   Pistil               Medlar Castle                       Fantasy     
 341.   Pistil               Science Wastelands                  Science     
 342.   Pistil               Temple of the Zombie God            Fantasy     
 343.   Pistil               Woodsman's Cottage                  Fantasy     
 344.   Polanna              Dragon Isle                         Fantasy     
 345.   Polanna              Heaven                              Fantasy     
 346.   Polanna              Island of Tapan                     Fantasy     
 347.   Polanna              Mira's Cottage                      Fantasy     
 348.   Polsy                A Quiet Swamp                       Science     
 349.   Polsy                CybDom Inc.                         Science     
 350.   Polsy                Desert Path                         Science     
 351.   Polsy                ICARE                               Science     
 352.   Polsy                Land of the Dinosaurs               Chaos       
 353.   Polsy                Rocky Mountainside                  Science     
 354.   Pyros                Mentos                              Chaos       
 355.   Rajah                Kingdom of Zanros                   Fantasy     
 356.   Rakk                 Filthy Wayhaven Alley               Fantasy     
 357.   Rampage and Vraal    Temple of Drackonus                 Fantasy     
 358.   Rastafan             Alphabet Land                       Chaos       
 359.   Rastafan             Deep Mountain                       Fantasy     
 360.   Rastafan             Hell                                Fantasy     
 361.   Rastafan             Land of the Ice People              Fantasy     
 362.   Rastafan             Mage Tower                          Fantasy     
 363.   Rastafan             Rabbit Fields                       Fantasy     
 364.   Rastafan             Shansabyk's Castle                  Fantasy     
 365.   Rastafan             The Abyss                           Fantasy     
 366.   Rastafan             The Dragon Realms                   Fantasy     
 367.   Rastafan             The Drow Kingdom of fe dar Shad     Fantasy     
 368.   Razorx               Funky Bathroom                      Chaos       
 369.   Razorx               The Barbarian Plains                Fantasy     
 370.   Renfield and         Tencho                              Chaos
        Nanook            
 371.   Requiem              Faerie Glade                        Fantasy     
 372.   Requiem              Lair of the Matriarch               Fantasy     
 373.   Requiem              Theatre of Souls                    Fantasy     
 374.   Requiem              Troll Alliance                      Fantasy     
 375.   Requiem              Voodoo Scavengers                   Science     
 376.   Riekl                Temple of Alythra                   Fantasy     
 377.   Rodney               Pinnacle Sports Bar                 Pinnacle    
 378.   Rumor                Aegis Global                        Science     
 379.   Rumor                Dog Pound                           Chaos       
 380.   Rumor                Dragon Labyrinth                    Fantasy     
 381.   Rumor                EMA Complex                         Science     
 382.   Rumor                Hall of Kings                       Fantasy     
 383.   Rumor                Isle of Equinity                    Fantasy     
 384.   Rumor                Mahjongg                            Chaos       
 385.   Rumor                Mantis Swamp                        Science     
 386.   Rumor                Smurfland 2                         Chaos       
 387.   Rumor                The Isle of Ao                      Fantasy     
 388.   Rumor                The Princess Bride                  Chaos       
 389.   Rumor                Tookwich                            Fantasy     
 390.   Rumor                Xaxis                               Fantasy     
 391.   Rumor and Vaix       MicroTech                           Science     
 393.   Ryft                 Everlynd Park Maze                  Fantasy     
 394.   Ryft                 Fuzzy Aliens of Mars                Science     
 395.   Ryft                 Great Lighthouse of Land's End      Fantasy     
 396.   Ryft                 Kobold Cave                         Newbieland  
 397.   Ryft                 Mouse House                         Chaos       
 398.   Ryft                 NYT, Pinnacle Branch                Pinnacle
                                                                 (DEFUNCT)   
 399.   Ryft                 Temple of Kourlyn                   Fantasy     
 400.   Safeire              Chinese Checkers                    Chaos       
 401.   Safeire              Spring of Kierlanai                 Fantasy     
 402.   Safeire              Tower of Vindaes                    Fantasy     
 403.   Safeire              Wayhaven Lovers                     Fantasy     
 404.   Salrylia             Abandoned Garden                    Fantasy     
 405.   Samiel               The Amazon Research Center          Science     
 406.   Samiel               The Secret of Nimh                  Chaos       
 407.   Samiel               Thistlebeard's Galleon              Fantasy     
 408.   Samiel, Heroin and   Old London                          Chaos
        Crowley           
 409.   Santiago             Cap'n Crunch Land                   Chaos       
 410.   Santiago             Eiffel Tower                        Chaos       
 411.   Santiago             Good Humor Truck                    Chaos       
 412.   Santiago             Theatre Des Vampires                Chaos       
 413.   Saragon              Impact Crater                       Science     
 414.   Scrubby              Ruined Reactor                      Science     
 415.   Seiger               Diamond Mine                        Fantasy     
 416.   Seiger               Fwiffo's Cottage                    Fantasy     
 417.   Seiger               Gargoyle Den                        Fantasy     
 418.   Seiger               Mt. Silvermoon                      Fantasy     
 419.   Seiger               Mt. Silvermoon Graveyard            Fantasy     
 420.   Seiger               Samantha's Cathedral                Fantasy     
 421.   Seiger               Sin'Jun's Cave                      Fantasy     
 422.   Seiger               St. Elmo's Grave                    Fantasy     
 423.   Serpentine           Icy Grave                           Fantasy     
 424.   Serpentine           Ruined Cathedral                    Newbieland  
 425.   Serpentine           Woodsman's Hut                      Fantasy     
 426.   Shadow               Fire Giant Lair                     Fantasy     
 427.   Shadow               Shadow Dragon Lair                  Fantasy     
 428.   Shadow               The Plane of Fire                   Fantasy     
 429.   Shadowlotus          Bandit Hut                          Fantasy     
 430.   Shadowlotus          Cave of the Snowbeast               Fantasy     
 431.   Shadowlotus          Weather Station                     Science     
 432.   Siona                Land of Myths and Fables            Chaos       
 433.   Sioux                Grocery Store                       Chaos       
 434.   Skeet                Aurora Missile Base                 Science     
 435.   Skeet                Gnome House                         Fantasy     
 436.   Skeet                Scorpion caves                      Fantasy     
 437.   Skeet                Teek's Island                       Fantasy     
 438.   Skinless             Karticos's Hovel                    Fantasy     
 439.   Skinless             Orc Tunnel                          Fantasy     
 440.   Skinless             Orc Village                         Fantasy     
 441.   Skinless             Realm of the Marsh Goblins          Fantasy     
 442.   Slick                Beavis and Butthead                 Chaos       
 443.   Slick                Easter Bunny Academy                Chaos       
 444.   Slick                Public Restrooms                    Pinnacle    
 445.   Slick                Roc's Nest                          Fantasy     
 446.   Slick                The Dragonbone Chair                Chaos       
 447.   Slister              Alpha Team and Alien Ship           Science     
 448.   Slister              Frosty Igloo                        Chaos       
 449.   Slister              Lost Woods                          Fantasy     
 450.   Slister              Prismatia's Cavern                  Fantasy     
 451.   Smoof                Toy Store                           Science     
 452.   Snookie              Cybers Insurance Company            Science     
 453.   Solo                 11 Melville Terrace                 Chaos       
 454.   Solo                 Ancient Dolmen                      Fantasy     
 455.   Solo                 Antimammonist Vault                 Science     
 456.   Solo                 Zosimus's House                     Fantasy     
 457.   Sorva                Boggart Vale                        Fantasy     
 458.   Sorva                New York City                       Science     
 459.   Sorva                Tomb of Horrors                     Fantasy
                                                                 (DEFUNCT)   
 460.   Steel                Airport Arcade                      Science     
 461.   Steel                MK ][ Machine                       Science     
 462.   Steel                Samurai Showdown                    Science     
 463.   Stelari              Excavation Site in the Icelands     Fantasy     
 464.   Stelari              Forest Lake                         Fantasy     
 465.   Stelari              Hacketoff's Bridge                  Fantasy     
 466.   Stelari              MP3 CD                              Chaos       
 467.   Stelari              Night of Colour                     Chaos       
 468.   Stelari              Sin City                            Chaos       
 469.   Stelari              Temple of Rauthgar                  Fantasy     
 470.   Stelari              The Sausage Dimensions              Chaos       
 471.   Stelari and Casso    Cowville                            Chaos       
 472.   Stercus              NASTAR                              Science     
 473.   Stranger             Stranger's Treehouse                Chaos       
 474.   Stu                  The Great Getaway                   Pinnacle    
 475.   Stu                  The Pinnacle Casino                 Pinnacle    
 476.   Surielle             Angel Garden                        Fantasy     
 477.   Syd                  Bombfreaks' Abbey                   Science     
 478.   Syd                  Druid Copse                         Fantasy     
 479.   Syd                  Grue Cave                           Fantasy     
 480.   Syd and Arrion       Walled Lake Central High School     Chaos       
 481.   Takamori             House of Cards                      Newbieland  
 482.   Takamori             Kilton Research Inc.                Science     
 483.   Takamori             Silicon Caverns                     Chaos       
 484.   Takamori             Tao Te Cheng                        Chaos       
 485.   Takamori             The Mission of Kecyc                Fantasy     
 486.   Takamori             The Queen of Hearts' Garden         Chaos       
 487.   Takamori             The Zodiac                          Chaos       
 488.   Talimar              Lemuria Dream                       Fantasy     
 489.   Talimar              New World Fitness                   Newbieland  
 490.   Talimar              Old Storyteller's Cabin             Fantasy     
 491.   Talimar              Supply Shuttle                      Science     
 492.   Talismon             Brewery Swamp                       Chaos       
 493.   Talismon             Carina's Observatory                Chaos       
 494.   Talismon             Cove of the Three                   Fantasy     
 495.   Talismon             Masque                              Fantasy     
 496.   Talismon             Vidarian Planet                     Chaos       
 497.   Talismon and Bork    Mount Knivur                        Fantasy     
 498.   Talismon and         Old Subway Station                  Science
        Outlaw            
 499.   Tarin                Azra's Tunnel                       Fantasy     
 500.   Tarin                Ethereal Tower                      Fantasy     
 501.   Tarin                Genlab                              Science     
 502.   Tarin                Haunted Manor                       Fantasy     
 503.   Tarin                Holy Shrine                         Fantasy     
 504.   Tarin                Knights Garden & Library            Pinnacle    
 505.   Tarin                Wayhaven Hitown Docks               Fantasy     
 506.   Telcontar            Bridge Club                         Pinnacle    
 507.   Telcontar            Luddite Commune                     Science     
 508.   Tensor               Ant Caves                           Fantasy     
 509.   Tensor               ArenaTAG!                           Pinnacle    
 510.   Tensor               Barovia                             Fantasy     
 511.   Tensor               Cybertron                           Science     
 512.   Tensor               Dark Forest                         Newbieland  
 513.   Tensor               Der'Thalas                          Fantasy     
 514.   Tensor               Epic Quest                          Fantasy     
 515.   Tensor               Gargoyle Lair                       Fantasy     
 516.   Tensor               Ice Cave                            Fantasy     
 517.   Tensor               Katin                               Fantasy     
 518.   Tensor               Lonely Keep                         Fantasy     
 519.   Tensor               Obsidian Tower                      Fantasy     
 520.   Tensor               Pyron                               Fantasy     
 521.   Tensor               Rampart                             Fantasy     
 522.   Tensor               Ravenloft                           Fantasy     
 523.   Tensor               Ravenloft Castle                    Fantasy     
 524.   Tensor               Ravenloft of the Past               Fantasy     
 525.   Tensor               Shadowborn Manor                    Fantasy     
 526.   Tensor               Starship Battle (sim)               Pinnacle    
 527.   Tensor               Taslen                              Fantasy     
 528.   Tensor               The Planes of Hell                  Fantasy     
 529.   Tensor               Treant Forest                       Fantasy     
 530.   Tensor               USS Enterprise (TNG)                Science     
 531.   Tensor               War Game!                           Pinnacle    
 532.   Tharog               Alternate Laboratory                Chaos       
 533.   Tharog               Murky Swamps                        Chaos       
 534.   Tharog               Prehistoric Earth                   Chaos       
 535.   Tharog               Red Creek                           Chaos       
 536.   Tharog               Rimalkin Cave                       Fantasy     
 537.   Tharog               Wormhole Laboratory                 Chaos       
 538.   Theseus              The Wreck of Stormbringer           Fantasy     
 539.   Thorin               Valley of Forests and Glaciers      Fantasy     
 540.   Thumpson             Space Simulator                     Science     
 541.   Thyros               Hidden Bunkers                      Science     
 543.   Thyros               Rocky Hill                          Fantasy     
 544.   Thyros               Stetstar Station                    Newbieland  
 546.   Timescape            Land of Newbies                     Newbieland  
 547.   Tinder               Kazhir's Hut                        Fantasy     
 548.   Tiro                 Chaos Overlands                     Chaos       
 549.   Tiro                 Chess Board                         Chaos       
 550.   Tiro                 Dr. Seuss's Hunches                 Chaos       
